,,,abs(corr)
mu.003,ks,critical_value,0.0
mu.003,ks,distance,0.6095003976997022
mu.003,ks,pval,0.5095888722267675
mu.004,ks,critical_diff,0.5882102255839927
mu.004,ks,critical_value,0.0
mu.004,ks,distance,0.5882102255839927
mu.004,ks,pval,0.5205551668579451
mu.005,ks,critical_diff,0.4972322754924214
mu.005,ks,critical_value,0.0
mu.005,ks,distance,0.4972322754924214
mu.005,ks,pval,0.5068113600643457
mu.006,ks,critical_diff,0.2886100148232453
mu.006,ks,critical_value,0.0
mu.006,ks,distance,0.2886100148232453
mu.006,ks,pval,0.05793905116573089
mu.007,ks,critical_diff,0.2867181480778201
mu.007,ks,critical_value,0.0
mu.007,ks,distance,0.2867181480778201
mu.007,ks,pval,0.05644818303277523
mu.008,ks,critical_diff,0.12989563140125054
mu.008,ks,critical_value,0.0
mu.008,ks,distance,0.12989563140125046
mu.008,ks,pval,0.030671005303479545
mu.009,ks,critical_diff,0.18439928431456679
mu.009,ks,critical_value,0.0
mu.009,ks,distance,0.1843992843145668
mu.009,ks,pval,0.05603101356895439
mu.010,ks,critical_diff,0.4441512233301747
mu.010,ks,critical_value,0.0
mu.010,ks,distance,0.44415122333017465
mu.010,ks,pval,0.0692615351117311
mu.011,ks,critical_diff,0.26917521826682606
mu.011,ks,critical_value,0.0
mu.011,ks,distance,0.26917521826682606
mu.011,ks,pval,0.061017318945334964
mu.012,ks,critical_diff,0.5177629984941182
mu.012,ks,critical_value,0.0
mu.012,ks,distance,0.5177629984941181
mu.012,ks,pval,0.5105407829166101
mu.013,ks,critical_diff,0.1868597057402701
mu.013,ks,critical_value,0.0
mu.013,ks,distance,0.1868597057402702
mu.013,ks,pval,0.28308292853360145
mu.014,ks,critical_diff,0.35125655931853483
mu.014,ks,critical_value,0.0
mu.014,ks,distance,0.3512565593185349
mu.014,ks,pval,0.3079927446027125
mu.015,ks,critical_diff,0.24592442548826243
mu.015,ks,critical_value,0.0
mu.015,ks,distance,0.24592442548826232
mu.015,ks,pval,0.48735457155817097
mu.016,ks,critical_diff,0.4088223799593557
mu.016,ks,critical_value,0.0
mu.016,ks,distance,0.4088223799593558
mu.016,ks,pval,0.3168351640917705
mu.017,ks,critical_diff,0.22475009526021092
mu.017,ks,critical_value,0.0
mu.017,ks,distance,0.2247500952602109
mu.017,ks,pval,0.3962554175909165
mu.018,ks,critical_diff,0.45999218597723257
mu.018,ks,critical_value,0.0
mu.018,ks,distance,0.45999218597723257
mu.018,ks,pval,0.06768775505948127
mu.019,ks,critical_diff,0.506645593725927
mu.019,ks,critical_value,0.0
mu.019,ks,distance,0.5066455937259271
mu.019,ks,pval,0.33413861913441995
mu.020,ks,critical_diff,0.4550746858343995
mu.020,ks,critical_value,0.0
mu.020,ks,distance,0.4550746858343996
mu.020,ks,pval,0.5557494802210593
mu.021,ks,critical_diff,0.5152155347731217
mu.021,ks,critical_value,0.0
mu.021,ks,distance,0.5152155347731218
mu.021,ks,pval,0.6196261280277298
mu.022,ks,critical_diff,0.312043685043988
mu.022,ks,critical_value,0.0
mu.022,ks,distance,0.31204368504398805
mu.022,ks,pval,0.13848286627413797
mu.023,ks,critical_diff,0.7043842805842048
mu.023,ks,critical_value,0.0
mu.023,ks,distance,0.7043842805842049
mu.023,ks,pval,0.5719791828190334
mu.024,ks,critical_diff,0.11480128217803848
mu.024,ks,critical_value,0.0
mu.024,ks,distance,0.11480128217803845
mu.024,ks,pval,0.2692909846311524
mu.025,ks,critical_diff,0.20261992133040146
mu.025,ks,critical_value,0.0
mu.025,ks,distance,0.20261992133040146
mu.025,ks,pval,0.2954300605505795
mu.026,ks,critical_diff,0.6350285332792045
mu.026,ks,critical_value,0.0
mu.026,ks,distance,0.6350285332792042
mu.026,ks,pval,0.4764404215764988
mu.027,ks,critical_diff,0.6757294258344164
mu.027,ks,critical_value,0.0
mu.027,ks,distance,0.6757294258344162
mu.027,ks,pval,0.5403367918040661
mu.028,ks,critical_diff,0.04156539728564447
mu.028,ks,critical_value,0.0
mu.028,ks,distance,0.04156539728564441
mu.028,ks,pval,0.34031055658755444
mu.029,ks,critical_diff,0.02511541301069236
mu.029,ks,critical_value,0.0
mu.029,ks,distance,0.025115413010692342
mu.029,ks,pval,0.11882806464204085
mu.030,ks,critical_diff,0.3617982124076144
mu.030,ks,critical_value,0.0
mu.030,ks,distance,0.3617982124076144
mu.030,ks,pval,0.2037121467600296
mu.031,ks,critical_diff,0.2066935977116335
mu.031,ks,critical_value,0.0
mu.031,ks,distance,0.20669359771163343
mu.031,ks,pval,0.36232638876124057
mu.032,ks,critical_diff,0.3983707419169873
mu.032,ks,critical_value,0.0
mu.032,ks,distance,0.39837074191698735
mu.032,ks,pval,0.1933482754646683
mu.033,ks,critical_diff,0.3624779665432936
mu.033,ks,critical_value,0.0
mu.033,ks,distance,0.36247796654329356
mu.033,ks,pval,0.2791265164453262
mu.034,ks,critical_diff,0.5282998775437217
mu.034,ks,critical_value,0.0
mu.034,ks,distance,0.5282998775437217
mu.034,ks,pval,0.32863033161881816
mu.035,ks,critical_diff,0.5274970183976243
mu.035,ks,critical_value,0.0
mu.035,ks,distance,0.5274970183976242
mu.035,ks,pval,0.48304399406739046
mu.036,ks,critical_diff,0.18132460584114418
mu.036,ks,critical_value,0.0
mu.036,ks,distance,0.18132460584114418
mu.036,ks,pval,0.38711786610107785
mu.037,ks,critical_diff,0.19966505904944115
mu.037,ks,critical_value,0.0
mu.037,ks,distance,0.19966505904944123
mu.037,ks,pval,0.04508784371379894
mu.038,ks,critical_diff,0.08090882527873564
mu.038,ks,critical_value,0.0
mu.038,ks,distance,0.08090882527873565
mu.038,ks,pval,0.37231853500876744
mu.039,ks,critical_diff,0.3886790465594881
mu.039,ks,critical_value,0.0
mu.039,ks,distance,0.38867904655948793
mu.039,ks,pval,0.12027520040760681
mu.040,ks,critical_diff,0.05474794163118488
mu.040,ks,critical_value,0.0
mu.040,ks,distance,0.054747941631184883
mu.040,ks,pval,0.10631841149883728
mu.041,ks,critical_diff,0.33554673600710555
mu.041,ks,critical_value,0.0
mu.041,ks,distance,0.33554673600710555
mu.041,ks,pval,0.17849208507715572
mu.042,ks,critical_diff,0.4364355756937818
mu.042,ks,critical_value,0.0
mu.042,ks,distance,0.4364355756937818
mu.042,ks,pval,0.3806661058082137
mu.043,ks,critical_diff,0.4451428672141305
mu.043,ks,critical_value,0.0
mu.043,ks,distance,0.4451428672141303
mu.043,ks,pval,0.49778459167617894
mu.044,ks,critical_diff,0.10087151466789541
mu.044,ks,critical_value,0.0
mu.044,ks,distance,0.10087151466789537
mu.044,ks,pval,0.047434164384035145
mu.045,ks,critical_diff,0.4606784114134831
mu.045,ks,critical_value,0.0
mu.045,ks,distance,0.460678411413483
mu.045,ks,pval,0.23894715820548473
mu.046,ks,critical_diff,0.7060267694641453
mu.046,ks,critical_value,0.0
mu.046,ks,distance,0.7060267694641453
mu.046,ks,pval,0.536685555539217
mu.047,ks,critical_diff,0.26576132761825977
mu.047,ks,critical_value,0.0
mu.047,ks,distance,0.26576132761825977
mu.047,ks,pval,0.08286903796228222
mu.048,ks,critical_diff,0.48833194749012726
mu.048,ks,critical_value,0.0
mu.048,ks,distance,0.48833194749012726
mu.048,ks,pval,0.3562418369470593
mu.049,ks,critical_diff,0.7567953907097644
mu.049,ks,critical_value,0.0
mu.049,ks,distance,0.7567953907097648
mu.049,ks,pval,0.6178224876476318
mu.050,ks,critical_diff,0.33335401448610424
mu.050,ks,critical_value,0.0
mu.050,ks,distance,0.33335401448610424
mu.050,ks,pval,0.16685852607009222
mu.051,ks,critical_diff,0.39397489091641363
mu.051,ks,critical_value,0.0
mu.051,ks,distance,0.39397489091641374
mu.051,ks,pval,0.45797961469475285
mu.052,ks,critical_diff,0.27692558853240823
mu.052,ks,critical_value,0.0
mu.052,ks,distance,0.27692558853240823
mu.052,ks,pval,0.010037379937792615
mu.053,ks,critical_diff,0.4157528727369526
mu.053,ks,critical_value,0.0
mu.053,ks,distance,0.4157528727369526
mu.053,ks,pval,0.12517326794359934
mu.054,ks,critical_diff,0.25700225549292743
mu.054,ks,critical_value,0.0
mu.054,ks,distance,0.25700225549292754
mu.054,ks,pval,0.060065912909422044
mu.055,ks,critical_diff,0.05694178755942725
mu.055,ks,critical_value,0.0
mu.055,ks,distance,0.05694178755942723
mu.055,ks,pval,0.2985724580338332
mu.056,ks,critical_diff,0.13819259436068007
mu.056,ks,critical_value,0.0
mu.056,ks,distance,0.13819259436068002
mu.056,ks,pval,0.2500233837940861
mu.057,ks,critical_diff,0.2950843331910375
mu.057,ks,critical_value,0.0
mu.057,ks,distance,0.2950843331910375
mu.057,ks,pval,0.06416593037017529
mu.058,ks,critical_diff,0.1683905132481867
mu.058,ks,critical_value,0.0
mu.058,ks,distance,0.16839051324818669
mu.058,ks,pval,0.12140601086853338
mu.059,ks,critical_diff,0.13132109662157873
mu.059,ks,critical_value,0.0
mu.059,ks,distance,0.1313210966215787
mu.059,ks,pval,0.43797857211306773
mu.060,ks,critical_diff,0.8241023355519609
mu.060,ks,critical_value,0.0
mu.060,ks,distance,0.8241023355519607
mu.060,ks,pval,0.4910864271709503
mu.061,ks,critical_diff,0.7160044733764657
mu.061,ks,critical_value,0.0
mu.061,ks,distance,0.7160044733764654
mu.061,ks,pval,0.5018502393696421
